user,folder_name,remove_start_image,remove_end_image,비고,,,,
,2020-05-25-0,20200525000104_76.jpg,20200525090641_10.jpg,정박된 사진 & 바다근교,,,,
,2020-05-25-1,-,-,,,,,
,2020-05-26-0,20200526112541_42.jpg,20200526115959_78.jpg,안개,,,,
,2020-05-10-1,-,-,,,,,
,2020-05-19-0,-,-,,,,,
,2020-05-26-1,20200526120103_30.jpg,20200526141953_46.jpg,안개,,,,
,2020-06-04-1,20200604120104_53.jpg,20200604155034_93.jpg,"폴더사용불가(정박,빗방울,화면어둠)",,,,
,2020-06-12-1,20200612120103_64.jpg,20200612235959_25.jpg,폴더용불가(정박),,,,
,2020-06-21-1,-,-,,,,,
,2020-05-27-0,20200527060003_61.jpg,20200527115959_04.jpg,"안개,빗방울",,,,
,2020-05-27-1,20200527120107_06.jpg,20200527143342_14.jpg,빗방울,,,,
박경찬,2020-05-28-0,20200528070003_70.jpg,20200528115959_66.jpg,폴더 사용 불가 (비가 와서 물방울 계속 맺힘),,,,
,2020-05-28-1,20200528120102_99.jpg,20200528165959_92.jpg,폴더 사용 불가 (비가 와서 물방울 계속 맺힘),,,,
,2020-05-29-0,20200529100857_07.jpg,20200529104828_32.jpg,물방울,,,,
,2020-05-29-1,-,-,,,,,
,2020-05-30-0,-,-,,,,,
,2020-05-30-1,20200530143706_16.jpg,20200530144823_17.jpg,안개,,,,
,2020-05-31-0,20200531070004_24.jpg,20200531072111_61.jpg,안개,20200531102925_15.jpg,20200531115959_20.jpg,물방울,
,2020-05-31-1,20200531120104_41.jpg,20200531123531_65.jpg,물방울,,,,
,2020-06-01-0,20200601112036_69.jpg,20200601114202_54.jpg,물방울,,,,
,2020-06-01-1,20200601134129_39.jpg,20200601143604_61.jpg,물방울,,,,
,2020-06-02-0,-,-,,,,,
,2020-06-02-1,20200602140532_71.jpg,20200602165959_32.jpg,어두워짐,,,,
,2020-06-03-0,-,-,,,,,
,2020-06-03-1,20200603142326_70.jpg,20200603165959_96.jpg,어두워짐,,,,
,2020-06-04-0,20200604115136_19.jpg,20200604115959_46.jpg,물방울 & 레이더 없음,,,,
,2020-06-04-2,20200604070003_64.jpg,20200604115959_46.jpg,폴더 사용 불가,,,,
,2020-06-05-0,,,폴더 사용 불가(시간 해당 안됨),,,,
,2020-06-05-1,20200605070003_53.jpg,20200605115959_67.jpg,폴더 사용 불가(레이더 없음),,,,
,2020-06-05-2,20200605120103_95.jpg,20200605165959_10.jpg,폴더 사용 불가(레이더 없음),,,,
,2020-06-06-0,20200606073000_68.jpg,20200606091959_98.jpg,레이더 없음,,,,
,2020-06-06-1,20200606134559_96.jpg,20200606170506_67.jpg,어두워짐,,,,
,2020-06-07-0,-,-,,,,,
,2020-06-07-1,20200607124217_25.jpg,20200607170847_30.jpg,어두워짐,,,,
,2020-06-08-0,20200608070003_57.jpg,20200608115959_73.jpg,폴더 사용 불가(레이더 없음),,,,
,2020-06-08-1,20200608120104_40.jpg,20200608165959_68.jpg,폴더 사용 불가(레이더 없음),,,,
김탁영,2020-06-09-0,20200609070003_81.jpg,20200609115959_77.jpg,레이더 없음,,,,
,2020-06-09-1,20200609120103_43.jpg,20200609165959_21.jpg,레이더 없음,,,,
,2020-06-10-0,20200610070003_53.jpg,20200610115959_15.jpg,운항 중이 아님 & 레이더 없음,,,,
,2020-06-10-1,20200610120103_61.jpg,20200610121459_22.jpg,레이더 없음,,,,
,2020-06-10-1,20200610122500_13.jpg,20200610125459_29.jpg,레이더 없음,,,,
,2020-06-10-1,20200610130500_25.jpg,20200610165959_33.jpg,레이더 없음 & 어두워짐,시차이슈: 낮과 밤이 바뀐듯 (이후 몇 개의 폴더에서 계속 발생),,,
,2020-06-11-0,20200611070003_88.jpg,20200611115959_50.jpg,레이더 없음,,,,
,2020-06-11-1,20200611120102_89.jpg,20200611165959_76.jpg,레이더 없음,,,,
,2020-06-12-0,20200612070004_07.jpg,20200612115959_15.jpg,레이더 없음,,,,
,2020-06-12-1,20200612120103_64.jpg,20200612165959_71.jpg,레이더 없음,,,,
,2020-06-13-0,20200613070004_14.jpg,20200613075459_01.jpg,레이더 없음,,,,
,2020-06-13-0,20200613081500_96.jpg,20200613082459_60.jpg,레이더 없음,,,,
,2020-06-13-0,20200613083500_28.jpg,20200613102459_04.jpg,레이더 없음,,,,
,2020-06-13-0,20200613103500_77.jpg,20200613115959_07.jpg,레이더 없음 & 물방울맺힘,,,,
,2020-06-13-1,20200613120103_87.jpg,20200613121459_44.jpg,레이더 없음,,,,
,2020-06-13-1,20200613134038_65.jpg,20200613165959_18.jpg,어두워짐,,,,
,2020-06-14-0,20200614101500_17.jpg,20200614102459_85.jpg,레이더 없음,,,,
,2020-06-14-0,20200614113500_93.jpg,20200614115959_14.jpg,레이더 없음,,,,
,2020-06-14-1,20200614120103_18.jpg,20200614122459_41.jpg,레이더 없음,,,,
,2020-06-14-1,20200614123500_24.jpg,20200614175959_01.jpg,레이더 없음 & 어두워짐,,,,
,2020-06-15-0,20200615112500_31.jpg,20200615115959_96.jpg,안개,,,,
,2020-06-15-1,20200615120103_57.jpg,20200615143459_85.jpg,안개,,,,
,2020-06-15-1,20200615151500_78.jpg,20200615165959_28.jpg,어두워짐,,,,
,2020-06-16-0,-,-,-,,,,
,2020-06-16-1,20200616162500_21.jpg,20200616165959_34.jpg,어두워짐,,,,
,2020-06-17-0,20200617070004_00.jpg,20200617073459_60.jpg,레이더 없음,,,,
,2020-06-17-0,20200617074500_46.jpg,20200617103459_57.jpg,레이더 없음,,,,
,2020-06-17-0,20200617104500_34.jpg,20200617115959_09.jpg,레이더 없음,,,,
,2020-06-17-1,20200617120103_17.jpg,20200617120459_80.jpg,레이더 없음,,,,
,2020-06-17-1,20200617121500_29.jpg,20200617153459_44.jpg,레이더 없음,,,,
,2020-06-17-1,20200617154500_10.jpg,20200617160459_89.jpg,레이더 없음,,,,
,2020-06-17-1,20200617162500_49.jpg,20200617163459_38.jpg,레이더 없음,,,,
